name,ring,quadrant,isNew,description
PostgreSQL,ADOPT,Data Management,FALSE,
PostGIS,ADOPT,Data Management,FALSE,
RabbitMQ,ADOPT,Data Management,FALSE,
Redis,ADOPT,Data Management,FALSE,
OpenAPI 3.0,ADOPT,Languages & Frameworks,FALSE,
Python::3,ADOPT,Languages & Frameworks,FALSE,
Python::Asyncio,ADOPT,Languages & Frameworks,FALSE,
Python::Asyncio::Aiohttp,ADOPT,Languages & Frameworks,FALSE,
Python::AsyncIO::AioRedis,ADOPT,Languages & Frameworks,FALSE,
Python::Asyncio::Aioworkers,ADOPT,Languages & Frameworks,FALSE,
Python::Asyncio::AsyncPG,ADOPT,Languages & Frameworks,FALSE,
Python::Django,ADOPT,Languages & Frameworks,FALSE,
Python::SQLAlchemy,ADOPT,Languages & Frameworks,FALSE,
Swagger 2.0,ADOPT,Languages & Frameworks,FALSE,
Docker,ADOPT,Platform & Infrastructure,FALSE,
Docker-swarm,ADOPT,Platform & Infrastructure,FALSE,
Ubuntu,ADOPT,Platform & Infrastructure,FALSE,
Ansible,ADOPT,Techniques & Tools,FALSE,
Docker-compose,ADOPT,Techniques & Tools,FALSE,
Gitlab,ADOPT,Techniques & Tools,FALSE,
Jenkins,ADOPT,Techniques & Tools,FALSE,
TDD,ADOPT,Techniques & Tools,FALSE,
Kubernetes,ASSESS,Platform & Infrastructure,TRUE,
Gitlab-CI,ASSESS,Techniques & Tools,TRUE,
CoreOS,HOLD,Platform & Infrastructure,FALSE,
Memcache,HOLD,Data Management,FALSE,
MySQL,HOLD,Data Management,FALSE,
MongoDB,HOLD,Data Management,FALSE,
Python::2,HOLD,Languages & Frameworks,FALSE,
Python::Celery,HOLD,Languages & Frameworks,FALSE,
Python::Flask,HOLD,Languages & Frameworks,FALSE,
Python::Tornado,HOLD,Languages & Frameworks,FALSE,
